"Art (Niveau 1)","Slægt (Niveau 2)","Tribus (Niveau 3)","Underfamilie (Niveau 4)","Familie (Niveau 5)","Overfamilie (Niveau 6)","Orden (Niveau 7)",Referencetekst,Den_danske_roedliste,Dansk,Autor,Dansk_navn,Familie_dk,Synonymer
"Gyrophaena rousi",Gyrophaena,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Fund af biller i Danmark, 2004 (Coleoptera). Entomologiske Meddelelser 73: 87-113",,Ja,"Dvorak, 1966",,Rovbiller,
"Gyrophaena strictula",Gyrophaena,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Erichson, 1839",,Rovbiller,
"Gyrophaena williamsi",Gyrophaena,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Strand, 1935",,Rovbiller,
"Habrocerus capillaricornis",Habrocerus,,Habrocerinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1806)",,Rovbiller,
"Habroloma nanum",Habroloma,Trachysini,Agrilinae,Buprestidae,Buprestoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"(Paykull, 1799)",,Pragtbiller,nana
"Hadrobregmus denticollis",Hadrobregmus,Hadrobregmini,Anobiinae,Ptinidae,Bostrichoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Creutzer, 1796)",,Borebiller,
"Hadrobregmus pertinax",Hadrobregmus,Hadrobregmini,Anobiinae,Ptinidae,Bostrichoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1758)",Dødningeur,Borebiller,
"Haeterius ferrugineus",Haeterius,,Haeteriinae,Histeridae,Histeroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Olivier, 1789)","Rød myrestumpbille",Stumpbiller,
"Haliplus apicalis",Haliplus,,,Haliplidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"C.G.Thomson, 1868",,Vandtrædere,striatus
"Haliplus confinis",Haliplus,,,Haliplidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Stephens, 1828",,Vandtrædere,lineatus
"Haliplus flavicollis",Haliplus,,,Haliplidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Sturm, 1834",,Vandtrædere,impressus
"Haliplus fluviatilis",Haliplus,,,Haliplidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Aubé, 1836",,Vandtrædere,
"Haliplus fulvicollis",Haliplus,,,Haliplidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Erichson, 1837",,Vandtrædere,
"Haliplus fulvus",Haliplus,,,Haliplidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Fabricius, 1801)",,Vandtrædere,
"Haliplus furcatus",Haliplus,,,Haliplidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Seidlitz, 1887",,Vandtrædere,
"Haliplus heydeni",Haliplus,,,Haliplidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Wehncke, 1875",,Vandtrædere,transversus
"Haliplus immaculatus",Haliplus,,,Haliplidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Gerhardt, 1877",,Vandtrædere,
"Haliplus laminatus",Haliplus,,,Haliplidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Schaller, 1783)",,Vandtrædere,cinereus
"Haliplus lineatocollis",Haliplus,,,Haliplidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Marsham, 1802)",,Vandtrædere,
"Haliplus lineolatus",Haliplus,,,Haliplidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Mannerheim, 1844",,Vandtrædere,nomax
"Haliplus obliquus",Haliplus,,,Haliplidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Fabricius, 1787)",,Vandtrædere,
"Haliplus ruficollis",Haliplus,,,Haliplidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(De Geer, 1774)",,Vandtrædere,affinis
"Haliplus variegatus",Haliplus,,,Haliplidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Sturm, 1834",,Vandtrædere,
"Haliplus wehnckei",Haliplus,,,Haliplidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Gerhardt, 1877",,Vandtrædere,sibiricus
"Hallomenus axillaris",Hallomenus,,Hallomeninae,Tetratomidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"(Illiger, 1807)",,,
"Hallomenus binotatus",Hallomenus,,Hallomeninae,Tetratomidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Quensel, 1807)",,,
"Halobrecta algae",Halobrecta,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Hardy, 1851",,Rovbiller,puncticeps
"Halobrecta flavipes",Halobrecta,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Thomson, 1861",,Rovbiller,
"Halyzia sedecimguttata",Halyzia,Halyziini,Coccinellinae,Coccinellidae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1758)","16-plettet mariehøne",Mariehøns,
"Hapalaraea pygmaea",Hapalaraea,Omaliini,Omaliinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Paykull, 1800)",,Rovbiller,
"Haploglossa gentilis",Haploglossa,Oxypodini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Märkel, 1845)",,Rovbiller,
"Haploglossa marginalis",Haploglossa,Oxypodini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1806)",,Rovbiller,
"Haploglossa nidicola",Haploglossa,Oxypodini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Fairmaire, 1853)",,Rovbiller,
"Haploglossa picipennis",Haploglossa,Oxypodini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gyllenhal, 1827)",,Rovbiller,
"Haploglossa villosula",Haploglossa,Oxypodini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Stephens, 1832)",,Rovbiller,pulla
"Harmonia axyridis",Harmonia,Coccinellini,Coccinellinae,Coccinellidae,Cucujoidea,Coleoptera,"Fund af biller i Danmark, 2006 og 2007 (Coleoptera). Entomologiske Meddelelser 76: 105-144",,Ja,"(Pallas, 1773)",Harlekinmariehøne,Mariehøns,
"Harmonia quadripunctata",Harmonia,Coccinellini,Coccinellinae,Coccinellidae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Pontoppidan, 1763)","Gulrød mariehøne",Mariehøns,
"Harpalus affinis",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Schrank, 1781)","Metallisk sandløber",Løbebiller,aeneus
"Harpalus anxius",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Duftschmid, 1812)","Smal sandløber",Løbebiller,
"Harpalus calceatus",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"(Duftschmid, 1812)","Glat markløber",Løbebiller,
"Harpalus distinguendus",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NA,Ja,"(Duftschmid, 1812)","Smuk sandløber",Løbebiller,
"Harpalus flavescens",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NE,Ja,"(Piller & Mitterpacher, 1783)","Rustgul sandløber",Løbebiller,rufus
"Harpalus froelichii",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",EN,Ja,"Sturm, 1818","Bred sandløber",Løbebiller,
"Harpalus griseus",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"(Panzer, 1797)","Grålig markløber",Løbebiller,
"Harpalus hirtipes",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",CR,Ja,"(Panzer, 1797)",Kæmpesandløber,Løbebiller,
"Harpalus hospes",Harpalus,,,Carabidae,Caraboidea,Coleoptera,"Ikke-hjemmehørende arter. Upubl. (excel-fil)",,Nej,"Sturm, 1818",,Løbebiller,
"Harpalus laevipes",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Zetterstedt, 1828","Firepunktet markløber",Løbebiller,quadripunctatus
"Harpalus latus",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)","Almindelig markløber",Løbebiller,
"Harpalus melancholicus",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",EN,Ja,"Dejean, 1829",Klitsandløber,Løbebiller,
"Harpalus neglectus",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Audinet-Serville, 1821","Rundbrystet sandløber",Løbebiller,
"Harpalus picipennis",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",RE,Ja,"(Duftschmid, 1812)","Liden sandløber",Løbebiller,
"Harpalus pumilus",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Sturm, 1818",Dværgsandløber,Løbebiller,vernalis
"Harpalus rubripes",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Duftschmid, 1812)","Rødbenet markløber",Løbebiller,
"Harpalus rufipalpis",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Sturm, 1818",,Løbebiller,rufitarsis
"Harpalus rufipes",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Degeer, 1774","Håret markløber",Løbebiller,
"Harpalus serripes",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Quensel, 1806)","Sort sandløber",Løbebiller,
"Harpalus servus",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Duftschmid, 1812)","Flad sandløber",Løbebiller,
"Harpalus signaticornis",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NA,Ja,"(Duftschmid, 1812)",,Løbebiller,
"Harpalus smaragdinus",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Duftschmid, 1812)",Smaragdsandløber,Løbebiller,
"Harpalus solitaris",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Dejean, 1829",Hedesandløber,Løbebiller,fuliginosus
"Harpalus tardus",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Panzer, 1797)","Rødfodet markløber",Løbebiller,
"Harpalus xanthopus",Harpalus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Gemminger & Harold, 1868",Skovmarkløber,Løbebiller,winkleri
"Helochares obscurus",Helochares,Hydrophilini,Hydrophilinae,Hydrophilidae,Hydrophiloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Müller, 1776)",,Vandkærer,lividus
"Helochares punctatus",Helochares,Hydrophilini,Hydrophilinae,Hydrophilidae,Hydrophiloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Sharp, 1869",,Vandkærer,
"Helophorus aequalis",Helophorus,,Helophorinae,Helophoridae,Hydrophiloidea,Coleoptera,"De danske arter af slægten Helophorus Fabricius 1775 (Coleoptera, Hydrophilidae). Entomologiske Meddelelser 50: 55-76",,Ja,"Thomson, 1868",,Vandkærer,"var. aequalis"
"Helophorus aquaticus",Helophorus,,Helophorinae,Helophoridae,Hydrophiloidea,Coleoptera,"De danske arter af slægten Helophorus Fabricius 1775 (Coleoptera, Hydrophilidae). Entomologiske Meddelelser 50: 55-76",,Ja,"(Linnaeus, 1758)",,Vandkærer,"var. aequalis"
"Helophorus arvernicus",Helophorus,,Helophorinae,Helophoridae,Hydrophiloidea,Coleoptera,"De danske arter af slægten Helophorus Fabricius 1775 (Coleoptera, Hydrophilidae). Entomologiske Meddelelser 50: 55-76",,Ja,"Mulsant, 1846",,Vandkærer,
"Helophorus asperatus",Helophorus,,Helophorinae,Helophoridae,Hydrophiloidea,Coleoptera,"De danske arter af slægten Helophorus Fabricius 1775 (Coleoptera, Hydrophilidae). Entomologiske Meddelelser 50: 55-76",,Ja,"Rey, 1885",,Vandkærer,
"Helophorus brevipalpis",Helophorus,,Helophorinae,Helophoridae,Hydrophiloidea,Coleoptera,"De danske arter af slægten Helophorus Fabricius 1775 (Coleoptera, Hydrophilidae). Entomologiske Meddelelser 50: 55-76",,Ja,"Bedel, 1881",,Vandkærer,"guttulus var. brevipalpis"
"Helophorus flavipes",Helophorus,,Helophorinae,Helophoridae,Hydrophiloidea,Coleoptera,"De danske arter af slægten Helophorus Fabricius 1775 (Coleoptera, Hydrophilidae). Entomologiske Meddelelser 50: 55-76",,Ja,"Fabricius, 1792",,Vandkærer,viridicollis
"Helophorus fulgidicollis",Helophorus,,Helophorinae,Helophoridae,Hydrophiloidea,Coleoptera,"De danske arter af slægten Helophorus Fabricius 1775 (Coleoptera, Hydrophilidae). Entomologiske Meddelelser 50: 55-76",,Ja,"Motschulsky, 1860",,Vandkærer,
"Helophorus grandis",Helophorus,,Helophorinae,Helophoridae,Hydrophiloidea,Coleoptera,"De danske arter af slægten Helophorus Fabricius 1775 (Coleoptera, Hydrophilidae). Entomologiske Meddelelser 50: 55-76",,Ja,"Illiger, 1798",,Vandkærer,aquaticus
"Helophorus granularis",Helophorus,,Helophorinae,Helophoridae,Hydrophiloidea,Coleoptera,"De danske arter af slægten Helophorus Fabricius 1775 (Coleoptera, Hydrophilidae). Entomologiske Meddelelser 50: 55-76",,Ja,"(Linnaeus, 1760)",,Vandkærer,
"Helophorus griseus",Helophorus,,Helophorinae,Helophoridae,Hydrophiloidea,Coleoptera,"De danske arter af slægten Helophorus Fabricius 1775 (Coleoptera, Hydrophilidae). Entomologiske Meddelelser 50: 55-76",,Ja,"Herbst, 1793",,Vandkærer,semifulgens
"Helophorus laticollis",Helophorus,,Helophorinae,Helophoridae,Hydrophiloidea,Coleoptera,"De danske arter af slægten Helophorus Fabricius 1775 (Coleoptera, Hydrophilidae). Entomologiske Meddelelser 50: 55-76",,Ja,"Thomson, 1853",,Vandkærer,
"Helophorus minutus",Helophorus,,Helophorinae,Helophoridae,Hydrophiloidea,Coleoptera,"De danske arter af slægten Helophorus Fabricius 1775 (Coleoptera, Hydrophilidae). Entomologiske Meddelelser 50: 55-76",,Ja,"Fabricius, 1775",,Vandkærer,
"Helophorus nanus",Helophorus,,Helophorinae,Helophoridae,Hydrophiloidea,Coleoptera,"De danske arter af slægten Helophorus Fabricius 1775 (Coleoptera, Hydrophilidae). Entomologiske Meddelelser 50: 55-76",,Ja,"Sturm, 1836",,Vandkærer,
"Helophorus nubilus",Helophorus,,Helophorinae,Helophoridae,Hydrophiloidea,Coleoptera,"De danske arter af slægten Helophorus Fabricius 1775 (Coleoptera, Hydrophilidae). Entomologiske Meddelelser 50: 55-76",,Ja,"Fabricius, 1777",,Vandkærer,
"Helophorus obscurus",Helophorus,,Helophorinae,Helophoridae,Hydrophiloidea,Coleoptera,"De danske arter af slægten Helophorus Fabricius 1775 (Coleoptera, Hydrophilidae). Entomologiske Meddelelser 50: 55-76",,Ja,"Mulsant, 1844",,Vandkærer,walkeri
"Helophorus pumilio",Helophorus,,Helophorinae,Helophoridae,Hydrophiloidea,Coleoptera,"De danske arter af slægten Helophorus Fabricius 1775 (Coleoptera, Hydrophilidae). Entomologiske Meddelelser 50: 55-76",,Ja,"Erichson, 1837",,Vandkærer,
"Helophorus redtenbacheri",Helophorus,,Helophorinae,Helophoridae,Hydrophiloidea,Coleoptera,"De danske arter af slægten Helophorus Fabricius 1775 (Coleoptera, Hydrophilidae). Entomologiske Meddelelser 50: 55-76",,Ja,"Kuwert, 1885",,Vandkærer,pumilio
"Helophorus strigifrons",Helophorus,,Helophorinae,Helophoridae,Hydrophiloidea,Coleoptera,"De danske arter af slægten Helophorus Fabricius 1775 (Coleoptera, Hydrophilidae). Entomologiske Meddelelser 50: 55-76",,Ja,"Thomson, 1868",,Vandkærer,
"Helophorus tuberculatus",Helophorus,,Helophorinae,Helophoridae,Hydrophiloidea,Coleoptera,"De danske arter af slægten Helophorus Fabricius 1775 (Coleoptera, Hydrophilidae). Entomologiske Meddelelser 50: 55-76",,Ja,"Gyllenhal, 1808",,Vandkærer,
"Hemicoelus costatus",Hemicoelus,Anobiini,Anobiinae,Ptinidae,Bostrichoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Aragona, 1830)",,Borebiller,
"Hemicoelus fulvicornis",Hemicoelus,Anobiini,Anobiinae,Ptinidae,Bostrichoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Sturm, 1837)",,Borebiller,
"Hemicrepidius hirtus",Hemicrepidius,Denticollini,Denticollinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Herbst, 1784)",,Smeldere,
"Hemicrepidius niger",Hemicrepidius,Denticollini,Denticollinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)","Sort busksmælder",Smeldere,
"Henoticus californicus",Henoticus,,,Cryptophagidae,Cucujoidea,Coleoptera,"Ikke-hjemmehørende arter. Upubl. (excel-fil)",,Nej,"(Mannhereim, 1843)",,,
"Henoticus serratus",Henoticus,Cryptophagini,Cryptophaginae,Cryptophagidae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gyllenhal, 1808)",,,
